Membership No  Date Joined  Active  
    58022      2018-6-4     no    
    56751      2019-4-16    no    
    11012      2018-11-1    no    
    60296      2017-8-15    no    
    82145      2019-6-11    no    
    72148      2020-6-18    no    
    97880      2017-3-23    no    
    26449      2016-10-21   no    
    75502      2019-5-12    no    
    18012      2020-11-7    no    
    95828      2016-3-13    no    
    51798      2015-6-19    no    
    81740      2019-4-18    no    
    50401      2020-2-10    no    
    10560      2020-11-23   no    
    56824      2017-1-22    no    
    71532      2020-7-8     no    
